SIZE(M=N=K)	CUBLAS-DGEMM	C-CUDA	Julia-CUDA.jl	Julia-CUBLAS	Python-Numba-CUDA
1024	8910.720531	1173.328042	1589.92395	3865.091787	101.3707796
2048	9736.395117	1249.467749	1929.293731	8201.413148	178.7112791
3072	10108.88872	1568.874147	1324.446528	9207.554865	149.3856006
4096	10440.51606	1939.516013	1849.426554	10004.17803	244.527011
5120	10360.80305	2034.461191	1834.233579	10020.22719	250.9493419
6144	10842.07438	2022.024516	1780.301703	11599.91618	256.8827463
7168	12481.13887	2024.505281	1809.781024	12723.05812	260.5150009
8192	14580.25524	2011.001641	1916.853416	14130.59284	260.8919085
9216	15401.94777	2028.390813	1835.410449	16127.06949	259.4109229
10240	15300.07177	2024.253187	1797.597765	15042.5293	252.7311236
11264	15664.66852	1996.535583	1819.498511	15544.46702	251.8936071
12288	15610.24463	1986.256889	1860.299132	15764.4291	249.6739284
13312	15351.14718	2014.068135	1820.944824	15532.78673	245.2731633
14336	15656.49871	2006.504411	1816.974648	15465.78644	244.230903
15360	16223.73139	1994.135376	1804.632364	15951.48359	238.9589872
16384	15023.51759	2016.280565	1970.852067	14347.06106	253.5938871
17408	15396.61354	2003.700498	1808.693342	15127.50845	233.7158217
18432	16274.24855	2006.287951	1838.716662	16028.41633	227.767834
19456	16280.02234	1974.684966	1810.747218	14314.06657	221.5069084
20480	16078.26674	1959.172181	1826.152603	16095.63472	214.5863198
22000	15834.40202	1971.531113	1828.619345	15927.63044	222.6462267
25000	16163.75618	1934.857556	1827.32815	15406.86123	237.009814
30000	15925.51812	1928.921545	1851.110595	15078.39289	197.2843846
35000	14434.35508	1928.65471	1856.727107	14438.55419	236.3856105
40000	14665.39792	1927.71657	1820.994923	14790.24132	186.9174903
