SIZE(M=N=K)	Cray-libsci	OpenMP	Kokkos-OpenMP	Julia	Python-Numba
4096	2748.78	149.84	144.56	137.29	132.10
5120	2917.78	139.49	136.29	128.37	127.87
6144	2935.80	140.02	138.86	123.68	103.52
7168	2958.18	140.93	138.37	128.74	125.32
8192	2617.88	133.11	131.86	135.43	120.15
9216	2446.12	137.03	134.09	138.02	76.37
10240	2309.12	138.94	154.35	142.73	74.86
11264	2401.93	150.39	157.68	140.90	97.50
12288	2541.68	148.01	147.52	146.27	80.22
13312	2523.01	144.67	147.28	147.13	83.15
14336	2562.04	146.25	151.47	151.22	84.14
15360	2607.11	147.97	148.15	149.47	84.80
16384	2665.48	154.33	151.91	152.06	91.14
17408	2644.26	159.58	162.56	152.28	91.48
18432	2722.64	152.71	160.64	151.15	82.89
19456	2668.40	149.70	158.36	151.60	84.78
20480	2692.77	156.23	159.81	152.09	89.39
