SIZE(M=N=K) Cray-libsci OpenMP Kokkos-OpenMP Julia Python-Numba
4096 1431.66 70.64 68.91 61.72 34.82
5120 1113.84 72.07 68.03 67.77 39.77
6144 851.11 71.79 71.57 68.85 32.50
7168 808.55 70.70 70.38 67.09 33.39
8192 810.25 76.06 71.16 72.22 34.11
9216 834.94 74.24 74.62 76.40 39.45
10240 829.14 74.79 74.26 74.82 48.12
11264 836.00 75.85 73.27 74.93 40.66
12288 842.04 75.27 76.51 75.33 41.02
13312 842.35 78.17 77.87 76.55 45.04
14336 844.95 79.42 77.37 75.62 45.54
15360 849.68 79.10 78.40 72.27 45.45
16384 834.15 77.77 79.56 73.90 44.59
17408 843.44 73.60 75.61 75.10 43.16
18432 850.02 73.64 74.74 73.13 42.39
19456 848.63 74.13 76.18 73.48 44.43
20480 856.77 73.95 75.23 70.54 44.12
