SIZE(M=N=K)	rocBLAS	HIP	KOKKOS-HIP	Julia
4096	31,152.93	1,093.27  1,080.85	1,203.82
5120	30,891.93	1,141.95	961.25	1,194.18
6144	31,501.29	1,106.24	893.99	1,201.46
7168	33,419.32	1,142.28	839.13	1,191.33
8192	31,424.27	1,115.61	808.84	1,192.83
9216	31,382.18	1,141.22	782.58	1,188.84
10240	31,435.25	1,122.07	749.81	1,188.73
11264	31,497.03	1,138.60	720.00	1,185.01
12288	31,457.76	1,128.99	691.55	1,186.84
13312	31,450.54	1,133.85	671.72	1,182.05
14336	31,378.17	1,133.85	666.05	1,182.76
15360	31,392.83	1,117.62	674.48	1,179.18
16384	26,193.33	1,093.83	649.74	1,170.51
17408	31,227.07	1,086.21	644.22	1,114.35
18432	31,194.04	1,077.03	656.44	1,093.70
19456	30,729.81	1,059.80	645.90	1,072.92
20480	29,625.50	1,047.84	643.34	1,055.97
