SIZE(M=N=K) ARMPL OpenMP Kokkos-OpenMP Julia Python-Numba
4096 2889.28 342.07 338.13 287.55 129.52
5120 3041.74 335.45 342.05 327.84 129.47
6144 3149.57 325.69 338.73 308.80 128.74
7168 3160.28 327.83 341.39 314.50 126.14
8192 3163.93 319.98 341.21 291.58 128.25
9216 3154.42 316.98 340.94 281.55 129.19
10240 3119.99 333.50 339.93 280.01 126.88
11264 3121.57 328.03 336.22 268.09 127.09
12288 3032.81 314.30 213.72 299.89 128.30
13312 3023.65 308.00 236.22 272.07 127.49
14336 3085.40 320.68 214.44 283.40 126.72
15360 3009.28 317.79 237.36 284.46 128.72
16384 3079.33 325.83 231.05 288.11 127.02
17408 3085.43 316.11 222.70 277.40 127.87
18432 3101.85 320.89 220.57 279.53 127.98
19456 3120.43 312.61 268.06 298.06 129.66
20480 3157.62 325.18 245.83 300.06 126.99
