SIZE(M=N=K)	ARMPL	OpenMP	Kokkos-OpenMP	Julia	Python-Numba
4096	1225.42	163.64	173.56	122.42	134.28
5120	1166.76	160.21	173.71	148.67	132.31
6144	1214.47	161.84	170.95	141.28	133.57
7168	1228.30	162.15	172.04	129.28	130.02
8192	1193.84	154.54	170.27	150.14	127.53
9216	1208.71	160.96	164.14	145.08	99.73
10240	1151.98	157.99	97.86	142.11	90.79
11264	1116.92	162.02	106.85	152.07	94.22
12288	1217.14	160.45	102.64	138.10	96.13
13312	1117.40	156.69	101.08	144.99	98.76
14336	1164.77	156.91	109.93	136.98	111.69
15360	1150.71	160.84	116.58	150.49	100.78
16384	990.75	143.28	111.36	145.43	101.24
17408	1144.33	139.02	122.53	135.83	100.63
18432	1187.09	151.73	125.47	153.68	125.11
19456	1107.33	155.49	118.27	131.85	101.84
20480	1153.49	140.22	124.03	134.48	110.59
