SIZE(M=N=K)	CUBLAS	CUDA	KOKKOS-CUDA	Julia 	Python-Numba
4096	10348.929	2709.492	743.196	1807.271	290.356
5120	10288.628	3082.100	653.933	1812.331	285.112
6144	10040.890	3033.238	635.143	1780.700	287.963
7168	11760.928	3108.483	633.004	1810.664	291.582
8192	14773.170	3097.582	635.460	1921.761	292.603
9216	18250.144	3069.223	628.714	1834.359	290.247
10240	17809.137	3078.897	626.617	1797.872	289.014
11264	17495.444	3118.984	626.036	1819.961	292.799
12288	17736.580	3057.273	628.065	1862.754	290.524
13312	17325.603	3087.714	625.377	1822.323	292.419
14336	17569.510	3118.521	627.106	1817.694	292.866
15360	17742.574	3083.640	624.484	1805.263	288.845
16384	17515.939	3071.089	634.069	1971.838	292.768
17408	17559.772	3111.171	624.299	1808.515	289.648
18432	16854.728	3073.978	626.541	1839.309	291.879
19456	17164.964	3075.160	624.581	1809.702	291.961
20480	17188.661	3069.408	625.492	1824.663	289.309
